"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"Providence Sacred Heart Medical Center - Spokane","2017","Health Care","Hospitals","622110","General Medical and Surgical Hospitals","Providence Health Services","Spokane","Spokane","Spokane Regional Clean Air Agency","12,192","0","12,180","6","7","0","0","0","0","First year reporting.","1","47.648848, -117.412461",,,"POINT (-117.412461 47.648848)"
"Rainier Veneer, Inc. - Spanaway","2018","Wood Products","Other Wood Products","321212","Softwood Veneer and Plywood Manufacturing","Rainier Veneer Inc.","Spanaway","Pierce","Puget Sound Clean Air Agency","18,812","16,101","2,493","32","186","0","0","0","0",,"1","47.062059, -122.318981",,,"POINT (-122.318981 47.062059)"
"Macquarie Energy LLC - Houston","2023","Power","Marketer",,,"Macquarie Financial Holdings (USA) LLC","Houston","Harris",,"2,592",,,,,,,,,,,,,"Reporter",
"Boise Cascade Wood Products, LLC.  Kettle Falls Lumber - Kettle Falls","2016","Wood Products","Lumber Mills","321912","Cut Stock, Resawing Lumber, and Planing","Boise Cascade Company","Kettle Falls","Stevens","Ecology: Eastern Regional Office","53,752","53,044","0","102","607","0","0","0","0",,"2","48.609799, -118.067441",,,"POINT (-118.067441 48.609799)"
"Avista - EPE - Spokane","2023","Power","IOU","221210","Natural Gas Distribution","Avista Corporation","Spokane","Spokane",,"1,947,646",,,,,,,,,,,,"1,947,646","Covered Entity",
"James Hardie Building Products - Tacoma","2023","Manufacturing","Building Products","327390","Other Concrete Product Manufacturing","James Hardie Building Products Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","14,984","0","14,969","7","8","0","0","0","0",,"1","47.092145, -122.364656",,"Reporter","POINT (-122.364656 47.092145)"
"Imerys Minerals Quincy Plant - Quincy","2017","Minerals","Other Minerals","212399","All Other Nonmetallic Mineral Mining","Imerys Filtration Minerals Inc.","Quincy","Grant","Ecology: Eastern Regional Office","21,395","0","21,373","10","12","0","0","0","0",,"1","47.239948, -119.838831",,,"POINT (-119.838831 47.239948)"
"Alon Asphalt Company - Seattle","2012","Petroleum Systems","Other Petroleum Systems","424710","Petroleum Bulk Stations and Terminals","Delek US Holdings Inc.","Seattle","King","Puget Sound Clean Air Agency","15,138","0","15,111","18","9","0","0","0","0",,"1","47.781642, -122.395299",,,"POINT (-122.395299 47.781642)"
"Ascensus Specialties LLC - Elma","2013","Chemicals","Other Chemicals","325180","Other Basic Inorganic Chemical Manufacturing","VSI Holdings LLC","Elma","Grays Harbor","Olympic Region Clean Air Agency","17,966","0","17,857","9","100","0","0","0","0",,"1","46.995459, -123.382316",,,"POINT (-123.382316 46.995459)"
"Boeing Commercial Airplanes - Everett","2018","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Everett","Snohomish","Puget Sound Clean Air Agency","72,308","0","72,233","34","41","0","0","0","0",,"2","47.918622, -122.276987",,,"POINT (-122.276987 47.918622)"
"LANXESS Corporation - Kalama","2014","Chemicals","Other Chemicals","325199","All Other Basic Organic Chemical Manufacturing","Emerald Performance Materials LLC","Kalama","Cowlitz","Southwest Clean Air Agency","68,453","0","68,383","32","38","0","0","0","0",,"2","46.02191, -122.85698",,,"POINT (-122.85698 46.02191)"
"Boeing Commercial Airplanes - Everett","2023","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Everett","Snohomish","Puget Sound Clean Air Agency","66,124","0","66,056","31","38","0","0","0","0",,"2","47.918622, -122.276987","65,836","Covered Entity","POINT (-122.276987 47.918622)"
"Northwest Pipeline C/S - Snohomish","2015","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Snohomish","Snohomish","Puget Sound Clean Air Agency","66,543","0","65,853","653","37","0","0","0","0",,"2","47.78825, -122.05859",,,"POINT (-122.05859 47.78825)"
"Fairchild AFB - Spokane Co.","2017","Government","National Security","928110","National Security","US Government","Fairchild Air Force Base","Spokane","Spokane Regional Clean Air Agency","13,236","0","13,222","6","8","0","0","0","0",,"1","47.641332, -117.644832",,,"POINT (-117.644832 47.641332)"
"Fairchild AFB - Spokane Co.","2015","Government","National Security","928110","National Security","US Government","Fairchild Air Force Base","Spokane","Spokane Regional Clean Air Agency","14,052","0","14,038","7","8","0","0","0","0",,"1","47.641332, -117.644832",,,"POINT (-117.644832 47.641332)"
"Waste Management Greater Wenatchee Regional Landfill - East Wenatchee","2021","Waste","Landfills","562212","Solid Waste Landfill","Waste Management Inc.","East Wenatchee","Douglas","Ecology: Central Regional Office","49,645","0","0","49,645","0","0","0","0","0",,"2","47.405083, -120.167444",,,"POINT (-120.167444 47.405083)"
"Simplot Feeders LTD. - Burbank","2019","Livestock","Cattle Feedlots","112112","Cattle Feedlots","J.R. Simplot Company","Burbank","Walla Walla","Ecology: Eastern Regional Office","32,157","0","1,072","2,335","28,750","0","0","0","0","First year reporting emissions from onsite combustion.","2","46.133131, -118.90629",,,"POINT (-118.90629 46.133131)"
"Northwest Pipeline C/S - Goldendale","2019","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Goldendale","Klickitat","Ecology: Central Regional Office","36,931","0","34,125","2,788","19","0","0","0","0",,"2","45.771216, -120.799267",,,"POINT (-120.799267 45.771216)"
"Nutrien US LLC. - Kennewick","2019","Chemicals","Fertilizer Production","325311","Nitrogenous Fertilizer Manufacturing","Agrium US Inc.","Kennewick","Benton","Benton Clean Air Agency","145,245","0","11,198","1","134,046","0","0","0","0",,"3","46.165957, -119.017218",,,"POINT (-119.017218 46.165957)"
"Georgia-Pacific Consumer Operations LLC - Camas","2018","Pulp and Paper","Kraft Mills","322120","Paper Mills","Koch Industries Inc.","Camas","Clark","Ecology: Industrial Section","242,007","117,432","117,134","6,836","606","0","0","0","0","Pulp production shut down in 2018","3","45.584271, -122.40843",,,"POINT (-122.40843 45.584271)"
"Analog Devices, Inc. - Camas","2013","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","Linear Technology Corporation","Camas","Clark","Southwest Clean Air Agency","29,137","0","1,649","1","1,172","1,539","21,949","2,729","98",,"2","45.598844, -122.45232",,,"POINT (-122.45232 45.598844)"
"Roosevelt Regional Landfill - Roosevelt","2020","Waste","Landfills","562212","Solid Waste Landfill","Republic Services, Inc.","Roosevelt","Klickitat","Ecology: Central Regional Office","239,444","0","190","239,253","1","0","0","0","0",,"3","45.807146, -120.179785",,,"POINT (-120.179785 45.807146)"
"Washington Potato Company - Warden","2021","Food Production","Potato Products","311991","Perishable Prepared Food Manufacturing","Washington Potato Co.","Warden","Grant","Ecology: Eastern Regional Office","11,509","0","11,497","6","7","0","0","0","0",,"1","46.970469, -119.063631",,,"POINT (-119.063631 46.970469)"
"Puget Sound Energy - Goldendale Generating Station - Goldendale","2015","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Goldendale","Klickitat","Ecology: Central Regional Office","551,705","0","551,145","256","305","0","0","0","0",,"3","45.8114, -120.833",,,"POINT (-120.833 45.8114)"
"Bio Energy Washington, LLC - Maple Valley","2018","Power Plants","Other Power, Heating, or Cooling Plants","221119","Other Electric Power Generation","Bio Energy Washington","Maple Valley","King","Puget Sound Clean Air Agency","28,698","27,258","1,295","43","102","0","0","0","0",,"2","47.455871, -122.041817",,,"POINT (-122.041817 47.455871)"
"Michelsen Packaging - Yakima","2015","Pulp and Paper","Other Pulp and Paper","322299","All Other Converted Paper Product Manufacturing","Michelson Packaging Co.","Yakima","Yakima","Yakima Regional Clean Air Agency","9,296","0","9,286","5","5","0","0","0","0",,"1","46.604058, -120.513015",,,"POINT (-120.513015 46.604058)"
"Weyerhaeuser Raymond Lumber - Raymond","2012","Wood Products","Lumber Mills","321113","Sawmills","Weyerhaeuser Co.","Raymond","Pacific","Olympic Region Clean Air Agency","45,768","44,790","0","382","596","0","0","0","0",,"2","46.688088, -123.737495",,,"POINT (-123.737495 46.688088)"
"King County Solid Waste Cedar Hills Landfill - Maple Valley","2017","Waste","Landfills","562212","Solid Waste Landfill","King County Solid Waste Division","Maple Valley","King","Puget Sound Clean Air Agency","72,848","0","334","72,514","1","0","0","0","0",,"2","47.462625, -122.046025",,,"POINT (-122.046025 47.462625)"
"Lamb Weston - Richland","2023","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Lamb Weston, Inc.","Richland","Benton","Benton Clean Air Agency","84,081","9,355","56,530","18,131","66","0","0","0","0",,"2","46.309314, -119.297267","74,726","Covered Entity","POINT (-119.297267 46.309314)"
"Tacoma Power - Tacoma","2022","Power","COU","221122","Electric Power Distribution","City of Tacoma, Department of Public Utilities, Light Division DBA Tacoma Power","Tacoma","Pierce",,"79,244",,,,,,,,,,,,,,
"Eastern Washington University","2020","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Cheney","Spokane","Spokane Regional Clean Air Agency","13,687","0","13,673","7","8","0","0","0","0",,"1","47.490091, -117.579702",,,"POINT (-117.579702 47.490091)"
"WSCO Petroleum Corporation","2023","Supplier","Other Fuel Supplier","424710","Petroleum Bulk Stations and Terminals","WSCO Petroleum Corp","Portland","Multnomah",,"26,279","1,731","24,068","39","441","0","0","0","0",,,,,"Reporter",
"Frito Lay - Vancouver","2022","Food Production","Other Food Products","311919","Other Snack Food Manufacturing","PepsiCo Inc","Vancouver","Clark","Southwest Clean Air Agency","14,163","0","14,149","7","8","0","0","0","0",,"1","45.657037, -122.692",,,"POINT (-122.692 45.657037)"
"Tree Top - Prosser","2016","Food Production","Fruit Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","Tree Top Inc.","Prosser","Benton","Benton Clean Air Agency","17,640","0","17,622","8","10","0","0","0","0",,"1","46.21842, -119.73397",,,"POINT (-119.73397 46.21842)"
"North Pacific Paper Company, LLC - Longview","2022","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","NP Paper Investor Holdings LLC","Longview","Cowlitz","Southwest Clean Air Agency","42,740","0","42,697","20","24","0","0","0","0","Formerly part of Nippon Dynawave before 2016.","2","46.125662, -122.976788",,,"POINT (-122.976788 46.125662)"
"Northwest Pipeline C/S - Snohomish","2022","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Snohomish","Snohomish","Puget Sound Clean Air Agency","57,349","0","55,839","1,479","31","0","0","0","0",,"2","47.78825, -122.05859",,,"POINT (-122.05859 47.78825)"
"Western Washington University - Bellingham","2018","Government","Education","611310","Colleges, Universities, and Professional Schools","Western Washington University","Bellingham","Whatcom","Northwest Clean Air Agency","10,129","0","10,119","5","6","0","0","0","0",,"1","48.736499, -122.484714",,,"POINT (-122.484714 48.736499)"
"Cosmo Specialty Fibers Inc - Cosmopolis","2013","Pulp and Paper","Sulfite Mills","322110","Pulp Mills","Cosmo Specialty Fibers Inc.","Cosmopolis","Grays Harbor","Ecology: Industrial Section","512,586","488,239","17,568","4,970","1,810","0","0","0","0",,"3","46.952907, -123.76211",,,"POINT (-123.76211 46.952907)"
"Inland Empire Paper Company - Spokane","2012","Pulp and Paper","Other Pulp and Paper","322122","Newsprint Mills","Cowles Publishing Co.","Spokane","Spokane","Spokane Regional Clean Air Agency","36,152","17,985","17,755","162","250","0","0","0","0",,"2","47.688295, -117.279323",,,"POINT (-117.279323 47.688295)"
"Puget Sound Energy - Whitehorn Generating Station - Blaine","2022","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Blaine","Whatcom","Northwest Clean Air Agency","9,109","0","9,096","5","8","0","0","0","0",,"1","48.885475, -122.724299",,,"POINT (-122.724299 48.885475)"
"Bonneville Power Administration - WA Only - statewide","2022","Power Plants","Electrical Transmission and Distribution","221121","Electric Bulk Power Transmission and Control","US Government","Vancouver","Clark","Southwest Clean Air Agency","3,496","0","0","0","0","0","0","3,496","0",,"1","45.661178, -122.658608",,,"POINT (-122.658608 45.661178)"
"Northwest Hardwoods Inc. - Longview","2015","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Longview","Cowlitz","Southwest Clean Air Agency","16,719","11,074","5,492","24","130","0","0","0","0",,"1","46.114537, -122.916806",,,"POINT (-122.916806 46.114537)"
"Air Liquide Hydrogen Plant  - Anacortes","2018","Petroleum Systems","Other Petroleum Systems","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Anacortes","Skagit","Northwest Clean Air Agency","68,968","0","68,968","0","0","0","0","0","0",,"2","48.465617, -122.556032",,,"POINT (-122.556032 48.465617)"
"Port Townsend Paper Corporation - Port Townsend","2019","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Port Townsend Paper Corp.","Port Townsend","Jefferson","Ecology: Industrial Section","583,291","512,487","65,732","2,485","2,588","0","0","0","0",,"3","48.093793, -122.796806",,,"POINT (-122.796806 48.093793)"
"Central Washington University - Ellensburg","2020","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Ellensburg","Kittitas","Ecology: Central Regional Office","11,930","0","11,918","6","7","0","0","0","0",,"1","47.003202, -120.544513",,,"POINT (-120.544513 47.003202)"
"Puget Sound Energy LDC Supplier - Bellevue","2023","Supplier","Natural Gas Supplier","221210","Natural Gas Distribution","Puget Holdings, LLC","Bellevue","King",,"5,262,258","34,193","5,222,636","2,477","2,952","0","0","0","0",,,,"5,369,985","Covered Entity",
"Ash Grove Cement Company - Seattle","2019","Minerals","Cement Production","327310","Cement Manufacturing","Ash Grove Cement Co.","Seattle","King","Puget Sound Clean Air Agency","366,202","0","365,684","207","310","0","0","0","0",,"3","47.56799, -122.34255",,,"POINT (-122.34255 47.56799)"
"Basic American Foods - Moses Lake","2015","Food Production","Potato Products","311423","Dried and Dehydrated Food Manufacturing","Basic American Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","31,063","0","31,031","15","17","0","0","0","0",,"2","47.075183, -119.220408",,,"POINT (-119.220408 47.075183)"
"Sierra Pacific Industries - Burlington - Mount Vernon","2013","Wood Products","Lumber Mills","321113","Sawmills","Sierra Pacific Industries","Mount Vernon","Skagit","Northwest Clean Air Agency","297,759","291,480","2,384","560","3,335","0","0","0","0",,"3","48.448553, -122.434613",,,"POINT (-122.434613 48.448553)"
"Naval Air Station Whidbey Island - Oak Harbor","2014","Government","National Security","928110","National Security","US Government","Oak Harbor","Island","Northwest Clean Air Agency","15,388","0","15,372","7","9","0","0","0","0",,"1","48.345281, -122.669741",,,"POINT (-122.669741 48.345281)"
"Owens-Brockway Glass Container Inc Plant #2 - Kalama","2018","Minerals","Glass Production","327213","Glass Container Manufacturing","O-I Glass Inc.","Kalama","Cowlitz","Southwest Clean Air Agency","24,090","0","24,073","8","9","0","0","0","0",,"1","46.031656, -122.866241",,,"POINT (-122.866241 46.031656)"
"Spectrum Glass Company - Woodinville","2013","Minerals","Glass Production","327211","Flat Glass Manufacturing","Vanguard Properties Co.","Woodinville","King","Puget Sound Clean Air Agency","12,088","0","12,077","5","6","0","0","0","0",,"1","47.777004, -122.148978",,,"POINT (-122.148978 47.777004)"
"Avista Corporation - WA State DOE Reporting - statewide","2017","Natural Gas Systems","Natural Gas Local Distribution Companies","221121","Electric Bulk Power Transmission and Control","Avista Corp.","Spokane","Spokane","Spokane Regional Clean Air Agency","17,779","0","19","15,596","0","0","0","2,164","0",,"1","47.673486, -117.388514",,,"POINT (-117.388514 47.673486)"
"Terrace Heights Landfill - Yakima","2023","Waste","Landfills","562212","Solid Waste Landfill","Yakima County Public Services - Solid Waste Division","Yakima","Yakima","Yakima Regional Clean Air Agency","130,876","0","23","130,854","0","0","0","0","0",,"3","46.610031, -120.39408",,"Reporter","POINT (-120.39408 46.610031)"
"Spectrum Glass Company - Woodinville","2015","Minerals","Glass Production","327211","Flat Glass Manufacturing","Vanguard Properties Co.","Woodinville","King","Puget Sound Clean Air Agency","10,750","0","10,740","5","5","0","0","0","0",,"1","47.777004, -122.148978",,,"POINT (-122.148978 47.777004)"
"Puget Sound Energy - Sumas Generating Station - Sumas","2014","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Puget Holdings LLC","Sumas","Whatcom","Northwest Clean Air Agency","209,202","0","208,989","97","116","0","0","0","0",,"3","48.9905, -122.2733",,,"POINT (-122.2733 48.9905)"
"CertainTeed Gypsum - Seattle","2022","Manufacturing","Building Products","327420","Gypsum Product Manufacturing","Saint-Gobain Corporation","Seattle","King","Puget Sound Clean Air Agency","52,402","0","52,348","25","30","0","0","0","0",,"2","47.548056, -122.336944",,,"POINT (-122.336944 47.548056)"
"TransAlta Centralia Generation LLC - Centralia","2023","Power Plants","Coal Plants","221112","Fossil Fuel Electric Power Generation","Transalta Centralia Generation/Mining","Centralia","Lewis","Southwest Clean Air Agency","4,536,949","0","4,501,387","13,008","22,554","0","0","0","0",,"5","46.7559, -122.8578",,"Reporter","POINT (-122.8578 46.7559)"
"Costco Wholesale Corporation - Issaquah","2022","Supplier","Other Fuel Supplier","NA",,"Costco Wholesale Corp","Issaquah","King",,"18,095","1,078","16,690","26","301","0","0","0","0",,,,,,
"Northwest Hardwoods Inc. - Centralia","2023","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Centralia","Lewis","Southwest Clean Air Agency","9,004","5,070","3,863","12","60","0","0","0","0",,"1","46.734454, -122.991963",,"Reporter","POINT (-122.991963 46.734454)"
"Star Forge LLC dba Jorgensen Forge - Tukwila","2015","Metals","Other Metals","332111","Iron and Steel Forging","Jorgensen Forge Corp.","Tukwila","King","Puget Sound Clean Air Agency","5,321","0","5,316","3","3","0","0","0","0",,"1","47.526872, -122.303906",,,"POINT (-122.303906 47.526872)"
"Murphy Veneer - Elma","2021","Wood Products","Other Wood Products","321212","Softwood Veneer and Plywood Manufacturing","Murphy Co.","Elma","Grays Harbor","Olympic Region Clean Air Agency","11,220","0","11,209","5","6","0","0","0","0",,"1","47.040323, -123.334339",,,"POINT (-123.334339 47.040323)"
"Nippon Dynawave - Longview","2016","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Nippon Paper Industries Co Ltd","Longview","Cowlitz","Ecology: Industrial Section","1,563,256","1,219,699","336,063","1,671","5,823","0","0","0","0","Formerly included North Pacific Paper Company before 2016.","4","46.130495, -122.983637",,,"POINT (-122.983637 46.130495)"
"Northwest Hardwoods Inc. - Longview","2020","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Longview","Cowlitz","Southwest Clean Air Agency","11,353","6,529","4,731","15","77","0","0","0","0",,"1","46.114537, -122.916806",,,"POINT (-122.916806 46.114537)"
"Puget Sound Energy - Jackson Prairie Gas Storage - Chehalis","2019","Natural Gas Systems","Natural Gas Storage","486210","Pipeline Transportation of Natural Gas","Puget Holdings LLC","Chehalis","Lewis","Southwest Clean Air Agency","11,177","0","9,892","1,280","6","0","0","0","0",,"1","46.53461, -122.838569",,,"POINT (-122.838569 46.53461)"
"Northwest Pipeline C/S - Snohomish","2020","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Snohomish","Snohomish","Puget Sound Clean Air Agency","33,754","0","32,967","768","18","0","0","0","0",,"2","47.78825, -122.05859",,,"POINT (-122.05859 47.78825)"
"Western Washington University - Bellingham","2015","Government","Education","611310","Colleges, Universities, and Professional Schools","Western Washington University","Bellingham","Whatcom","Northwest Clean Air Agency","9,913","0","9,903","5","6","0","0","0","0",,"1","48.736499, -122.484714",,,"POINT (-122.484714 48.736499)"
"Steelscape - Kalama","2013","Metals","Other Metals","331221","Rolled Steel Shape Manufacturing","NS BlueScope USA LLC","Kalama","Cowlitz","Southwest Clean Air Agency","23,551","0","23,527","11","13","0","0","0","0",,"1","46.04326, -122.871703",,,"POINT (-122.871703 46.04326)"
"The Boeing Company: DC/MFC - Tukwila","2022","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Tukwila","King","Puget Sound Clean Air Agency","12,913","0","12,900","6","7","0","0","0","0",,"1","47.516246, -122.298613",,,"POINT (-122.298613 47.516246)"
"EPIC Aviation LLC","2022","Supplier","Other Fuel Supplier","424710","Petroleum Bulk Stations and Terminals","Signature Aviation","Salem","Marion",,"12,758","0","12,713","13","31","0","0","0","0",,,,,,
"Gas Transmission Northwest Compressor Station 8, LLC -Wallula","2023","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","TransCanada Northern Border Inc.","Wallula","Walla Walla","Ecology: Eastern Regional Office","133,440","0","131,297","2,069","74","0","0","0","0",,"3","46.053153, -118.843934","133,440","Covered Entity","POINT (-118.843934 46.053153)"
"Darling Ingredients Inc - Tacoma","2018","Food Production","Meat Products","311613","Rendering and Meat Byproduct Processing","Darling Ingredients Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","9,515","0","9,505","5","5","0","0","0","0",,"1","47.250503, -122.406461",,,"POINT (-122.406461 47.250503)"
"Northwest Hardwoods Inc. - Longview","2013","Wood Products","Lumber Mills","321113","Sawmills","Littlejohn & Co. LLC","Longview","Cowlitz","Southwest Clean Air Agency","14,936","9,533","5,270","21","112","0","0","0","0",,"1","46.114537, -122.916806",,,"POINT (-122.916806 46.114537)"
"Eastern Washington University","2021","Government","Education","611310","Colleges, Universities, and Professional Schools","State of Washington","Cheney","Spokane","Spokane Regional Clean Air Agency","13,858","0","13,844","7","8","0","0","0","0",,"1","47.490091, -117.579702",,,"POINT (-117.579702 47.490091)"
"Georgia-Pacific Gypsum LLC - Tacoma","2012","Manufacturing","Building Products","327420","Gypsum Product Manufacturing","Koch Industries Inc.","Tacoma","Pierce","Puget Sound Clean Air Agency","42,750","0","42,706","20","24","0","0","0","0",,"2","47.269558, -122.394869",,,"POINT (-122.394869 47.269558)"
"Guy Bennett Lumber Company - Clarkston","2018","Wood Products","Lumber Mills","321113","Sawmills","Bennett Lumber Products Inc.","Clarkston","Asotin","Ecology: Eastern Regional Office","15,574","15,240","0","130","203","0","0","0","0",,"1","46.423108, -117.086487",,,"POINT (-117.086487 46.423108)"
"Northwest Pipeline Willard C/S - Cook","2016","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Cook","Skamania","Southwest Clean Air Agency","7,520","0","5,573","1,944","3","0","0","0","0",,"1","45.778087, -121.626311",,,"POINT (-121.626311 45.778087)"
"SGL Carbon, LLC - Moses Lake","2016","Manufacturing","Transportation Industry","335991","Carbon and Graphite Product Manufacturing","SGL Automotive Carbon Fibers LLC","Moses Lake","Grant","Ecology: Eastern Regional Office","6,856","0","6,849","3","4","0","0","0","0",,"1","47.208993, -119.285437",,,"POINT (-119.285437 47.208993)"
"Cathcart Landfill - Snohomish","2023","Waste","Landfills","562212","Solid Waste Landfill","Snohomish County","Snohomish","Snohomish","Puget Sound Clean Air Agency","23,226","925","193","22,105","3","0","0","0","0",,"1","47.870014, -122.118284",,"Reporter","POINT (-122.118284 47.870014)"
"Spectrum Glass Company - Woodinville","2016","Minerals","Glass Production","327211","Flat Glass Manufacturing","Vanguard Properties Co.","Woodinville","King","Puget Sound Clean Air Agency","9,327","0","9,319","4","4","0","0","0","0",,"1","47.777004, -122.148978",,,"POINT (-122.148978 47.777004)"
"Alcoa Wenatchee Works - Malaga","2014","Metals","Aluminum Production","331312","Primary Aluminum Production","Alcoa Corp.","Malaga","Chelan","Ecology: Industrial Section","354,692","0","270,752","14","16","0","83,910","0","0",,"3","47.3567, -120.1273",,,"POINT (-120.1273 47.3567)"
"Naval Air Station Whidbey Island - Oak Harbor","2013","Government","National Security","928110","National Security","US Government","Oak Harbor","Island","Northwest Clean Air Agency","16,248","0","16,231","8","10","0","0","0","0",,"1","48.345281, -122.669741",,,"POINT (-122.669741 48.345281)"
"Boulder Park Generating Station - Spokane Valley","2022","Power Plants","Other Power, Heating, or Cooling Plants","221112","Fossil Fuel Electric Power Generation","Avista Corp.","Spokane Valley","Spokane","Spokane Regional Clean Air Agency","39,549","0","39,508","19","22","0","0","0","0",,"2","47.696999, -117.147223",,,"POINT (-117.147223 47.696999)"
"Spokane Waste to Energy Facility - Spokane","2022","Power Plants","Other Power, Heating, or Cooling Plants","562213","Solid Waste Combustors and Incinerators","City of Spokane","Spokane","Spokane","Spokane Regional Clean Air Agency","229,883","129,420","95,414","1,969","3,080","0","0","0","0",,"3","47.626529, -117.504278",,,"POINT (-117.504278 47.626529)"
"Pasco Processing LLC - Pasco","2023","Food Production","Other Food Products","311991","Perishable Prepared Food Manufacturing","Oregon Potato Co.","Pasco","Franklin","Ecology: Eastern Regional Office","11,545","0","11,533","6","7","0","0","0","0",,"1","46.28274, -119.097528",,"Reporter","POINT (-119.097528 46.28274)"
"VGP Holdings LLC - Lexington","2022","Supplier","Other Fuel Supplier","324191","Petroleum Lubricating Oil and Grease Manufacturing","VGP Holdings LLC","Lexington","Fayette",,"15,315","0","15,262","15","37","0","0","0","0",,,,,,
"SEH America, Inc - Vancouver","2022","Manufacturing","Electronics Industry","334413","Semiconductor and Related Device Manufacturing","SEH America Inc.","Vancouver","Clark","Southwest Clean Air Agency","11,387","0","11,375","5","6","0","0","0","0",,"1","45.649912, -122.553612",,,"POINT (-122.553612 45.649912)"
"Air Liquide Electronics Moses Lake Hydrogen Plant","2019","Chemicals","Other Chemicals","325120","Industrial Gas Manufacturing","Air Liquide USA Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","3,593","0","3,593","0","0","0","0","0","0",,"1","47.135844, -119.19962",,,"POINT (-119.19962 47.135844)"
"Northwest Pipeline Roosevelt C/S - Bickleton","2021","Natural Gas Systems","Natural Gas Transmission/Compression","486210","Pipeline Transportation of Natural Gas","The Williams Companies, Inc.","Bickleton","Klickitat","Ecology: Central Regional Office","16,535","0","14,323","2,204","8","0","0","0","0",,"1","45.849504, -120.08083",,,"POINT (-120.08083 45.849504)"
"Hampton Lumber Mills Washington Inc. - Morton","2019","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Morton","Lewis","Southwest Clean Air Agency","37,806","37,308","1","72","427","0","0","0","0",,"2","46.565997, -122.269573",,,"POINT (-122.269573 46.565997)"
"Grays Harbor Energy Center - Elma","2015","Power Plants","Natural Gas Turbine Plants","221112","Fossil Fuel Electric Power Generation","Invenergy Investment Company LLC","Elma","Grays Harbor","EFSEC","1,170,621","0","1,169,432","542","646","0","0","0","0",,"4","46.9688, -123.48",,,"POINT (-123.48 46.9688)"
"Starbucks Kent Flexible Plant - Kent","2020","Food Production","Other Food Products","311920","Coffee and Tea Manufacturing","Starbucks Corp.","Kent","King","Puget Sound Clean Air Agency","11,513","0","11,501","6","7","0","0","0","0",,"1","47.436276, -122.237648",,,"POINT (-122.237648 47.436276)"
"Simplot Feeders LTD. - Burbank","2020","Livestock","Cattle Feedlots","112112","Cattle Feedlots","J.R. Simplot Company","Burbank","Walla Walla","Ecology: Eastern Regional Office","32,477","0","1,162","2,432","28,883","0","0","0","0",,"2","46.133131, -118.90629",,,"POINT (-118.90629 46.133131)"
