"Reporter","Year","Sector","Subsector","Primary NAICS Code","NAICS Definition","Parent Company","City","County","Jurisdiction","Reported Emissions (MTCO2e)","Biogenic Carbon Dioxide (MTCO2e)","Carbon Dioxide (MTCO2e)","Methane (MTCO2e)","Nitrous Oxide (MTCO2e)","HFCs (MTCO2e)","PFCs (MTCO2e)","Sulfur Hexafluoride (MTCO2e)","Fluorinated - Other (MTCO2e)","Notes","Point Size","Location","Covered Emissions (MT CO2e)","CCA Status","Georeferenced Location"
"Basic American Foods - Moses Lake","2020","Food Production","Potato Products","311423","Dried and Dehydrated Food Manufacturing","Basic American Inc.","Moses Lake","Grant","Ecology: Eastern Regional Office","33,001","0","32,967","16","18","0","0","0","0",,"2","47.075183, -119.220408",,,"POINT (-119.220408 47.075183)"
"Bonneville Power Administration - WA Only - statewide","2012","Power Plants","Electrical Transmission and Distribution","221121","Electric Bulk Power Transmission and Control","US Government","Vancouver","Clark","Southwest Clean Air Agency","26,927","0","0","0","0","0","0","26,927","0",,"2","45.661178, -122.658608",,,"POINT (-122.658608 45.661178)"
"J.R. Simplot Company - Moses Lake","2016","Food Production","Potato Products","311411","Frozen Fruit, Juice, and Vegetable Manufacturing","J.R. Simplot Company","Moses Lake","Grant","Ecology: Eastern Regional Office","34,811","3,651","27,025","4,108","28","0","0","0","0",,"2","47.131732, -119.18926",,,"POINT (-119.18926 47.131732)"
"Avista Corporation - supplier","2020","Supplier","Natural Gas Supplier",,,"Avista Corporation","Spokane","Spokane",,"1,066,822","0","1,065,722","502","599","0","0","0","0",,,,,,
"Grant County Landfill 1 - Ephrata","2020","Waste","Landfills","562212","Solid Waste Landfill","Grant County Washington","Ephrata","Grant","Ecology: Eastern Regional Office","51,556","0","0","51,556","0","0","0","0","0",,"2","47.270759, -119.573764",,,"POINT (-119.573764 47.270759)"
"Nippon Dynawave - Longview","2022","Pulp and Paper","Kraft Mills","322121","Paper (except Newsprint) Mills","Nippon Paper Industries Co Ltd","Longview","Cowlitz","Ecology: Industrial Section","1,609,289","1,240,917","360,754","1,645","5,973","0","0","0","0","Formerly included North Pacific Paper Company before 2016.","4","46.130495, -122.983637",,,"POINT (-122.983637 46.130495)"
"Emerald City Renewables, LLC- Graham","2019","Power Plants","Other Power, Heating, or Cooling Plants","221117","Biomass Electric Power Generation","Emerald City Renewables LLC","Graham","Pierce","Puget Sound Clean Air Agency","17,639","17,549","0","27","63","0","0","0","0",,"1","46.975533, -122.290871",,,"POINT (-122.290871 46.975533)"
"Hampton Lumber Mills Washington Inc. - Morton","2023","Wood Products","Lumber Mills","321113","Sawmills","Hampton Lumber Mills Washington Inc.","Morton","Lewis","Southwest Clean Air Agency","29,522","29,133","0","56","333","0","0","0","0",,"2","46.565997, -122.269573",,"Reporter","POINT (-122.269573 46.565997)"
"The Boeing Company: DC/MFC - Tukwila","2016","Manufacturing","Transportation Industry","336411","Aircraft Manufacturing","The Boeing Company","Tukwila","King","Puget Sound Clean Air Agency","14,859","0","14,844","7","8","0","0","0","0",,"1","47.516246, -122.298613",,,"POINT (-122.298613 47.516246)"
"LRI Landfill - Graham","2016","Waste","Landfills","562212","Solid Waste Landfill","Waste Connections Inc.","Graham","Pierce","Puget Sound Clean Air Agency","115,122","0","0","115,122","0","0","0","0","0",,"3","46.972405, -122.292799",,,"POINT (-122.292799 46.972405)"
